product_name,size_cl,size_label,price_eur,available
Cuvée Royale Brut,37.5,Demi-bouteille,21.8,1
Cuvée Royale Brut,75.0,Bouteille,40.9,1
Cuvée Royale Brut,150.0,Magnum,84.2,1
Cuvée Royale Brut,300.0,Jeroboam,208.0,1
Cuvée Royale Brut,600.0,Mathusalem,471.2,1
Cuvée Royale Brut Nature,75.0,Bouteille,44.0,1
Cuvée Royale Brut Nature,150.0,Magnum,90.4,1
Cuvée Royale Brut Nature,300.0,Jeroboam,260.0,1
Cuvée Royale Brut Nature,600.0,Mathusalem,566.8,1
Cuvée Royale Blanc de Blancs,75.0,Bouteille,58.9,1
Cuvée Royale Blanc de Blancs,150.0,Magnum,120.2,1
Cuvée Royale Blanc de Blancs,300.0,Jeroboam,319.6,1
Cuvée Royale Blanc de Blancs,600.0,Mathusalem,686.0,1
Cuvée Royale Brut Rosé,37.5,Demi-bouteille,30.8,1
Cuvée Royale Brut Rosé,75.0,Bouteille,58.9,1
Cuvée Royale Brut Rosé,150.0,Magnum,120.2,1
Cuvée Royale Brut Rosé,300.0,Jeroboam,319.6,1
Cuvée Royale Vintage 2018,75.0,Bouteille,69.9,1
Cuvée Royale Vintage 2018,150.0,Magnum,142.2,1
Cuvée Royale Demi-Sec,75.0,Bouteille,40.9,1
Le Ciergelot 2020,75.0,Bouteille,87.5,1
Le Ciergelot 2020,150.0,Magnum,177.4,1
La Côte à Bras 2016,75.0,Bouteille,87.5,1
Joséphine 2014,75.0,Bouteille,165.0,1
Joséphine 2014,150.0,Magnum,356.4,1
Cuvée 200,150.0,Magnum,295.0,1
Cuvée 200,300.0,Jeroboam,670.0,1
