product_name,grape_variety,percentage,origin_village
Cuvée Royale Brut,Chardonnay,35.0,
Cuvée Royale Brut,Pinot Noir,35.0,
Cuvée Royale Brut,Meunier,30.0,
Cuvée Royale Brut Nature,Chardonnay,62.0,
Cuvée Royale Brut Nature,Meunier,24.0,
Cuvée Royale Brut Nature,Pinot Noir,14.0,
Cuvée Royale Blanc de Blancs,Chardonnay,100.0,
Cuvée Royale Brut Rosé,Chardonnay,40.0,
Cuvée Royale Brut Rosé,Pinot Noir,40.0,
Cuvée Royale Brut Rosé,Meunier,20.0,
Cuvée Royale Vintage 2018,Chardonnay,81.0,
Cuvée Royale Vintage 2018,Pinot Noir,19.0,
Cuvée Royale Demi-Sec,Chardonnay,35.0,
Cuvée Royale Demi-Sec,Pinot Noir,35.0,
Cuvée Royale Demi-Sec,Meunier,30.0,
Le Ciergelot 2020,Meunier,100.0,
La Côte à Bras 2016,Pinot Noir,100.0,
Joséphine 2014,Chardonnay,60.0,
Joséphine 2014,Pinot Noir,40.0,
Cuvée 200,Chardonnay,50.0,
Cuvée 200,Pinot Noir,50.0,
