id,name,category,product_type,is_vintage,vintage_year,dosage_type,dosage_gl,aging_months,reserve_wine_pct,serving_temp_min_c,serving_temp_max_c,price_eur,availability,short_description,food_pairing,awards,winemaker_notes,source_url,scraped_at,Chardonnay,Meunier,Pinot Noir,price_bouteille_eur,price_demi-bouteille_eur,price_jeroboam_eur,price_magnum_eur,price_mathusalem_eur
1,Cuvée Royale Brut,Non-Vintage,Champagne,0,,Brut,7.0,36,20.0,8.0,10.0,40.9,,,La Cuvée Royale Brut se déguste de préférence à l’apéritif et peut aussi être l’unique vin d’un repas. Idéale avec un gravlax de saumon ou de copeaux de parmesan.,THE DRINKS BUSINESS; THE CHAMPAGNE MASTERS 2026 GOLD; THE CHAMPAGNE & SPARKLING WINE WORLD CHAMPIONSHIPS 2023; GOLD; DECANTER; SILVER 2024; JAMES SUCKLING — 91 PTS,"Plus de 20 crus différents dont les vignobles situés à Cumières, Damery, Hautvillers et Verneuil",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut/,2026-04-05 23:14:33.780888,35.0,30.0,35.0,40.9,21.8,208.0,84.2,471.2
2,Cuvée Royale Brut Nature,Non-Vintage,Champagne,0,,Brut Nature,0.0,72,24.0,8.0,10.0,44.0,,,Parfait lors d’un apéritif plein de fraîcheur. Ce vin accompagne aussi parfaitement les poissons crus et les crustacés.,JAMES SUCKLING — 93 PTS - TOP 100 WINES OF FRANCE; DECANTER; BRONZE 2024; WINE SPECTATOR — 89 PTS; THE DRINKS BUSINESS; GOLD 2024,"Une dizaine de crus des terroirs de Cumières, Avize, Chouilly, Mesnil sur Oger, Bergères-lès-Vertus, Trépail et Bassuet.",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-nature/,2026-04-05 23:14:33.854996,62.0,24.0,14.0,44.0,,260.0,90.4,566.8
3,Cuvée Royale Blanc de Blancs,Non-Vintage,Champagne,0,,Brut,6.0,36,15.0,8.0,10.0,58.9,,,"À l’apéritif avec des mises-en-bouche inventives, en début de repas avec des mets légers et raffinés, un carpaccio de bar, un céviche de dorade.",THE DRINKS BUSINESS; SILVER 2025; DECANTER — 92 PTS; JAMES SUCKLING — 92 PTS; BETTANE ET DESSEAUVE — 92/100,"Une dizaine de crus des terroirs de Cumières, Avize, Chouilly, Mesnil sur Oger, Bergères-lès-Vertus, Trépail et Bassuet.",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-blanc-de-blancs/,2026-04-05 23:14:33.907666,100.0,,,58.9,,319.6,120.2,686.0
4,Cuvée Royale Brut Rosé,Non-Vintage,Champagne,0,,Brut,7.0,36,20.0,8.0,10.0,58.9,,,La Cuvée Royale Rosé donne le ton à vos apéritifs mais elle accompagne également très bien vos repas à base de viandes blanches ou encore vos desserts peu sucrés.,VINUM — 17/20; THE DRINKS BUSINESS; PARMI LES 10 MEILLEURS CHAMPAGNE ROSÉ; JAMES SUCKLING — 93 PTS; THE DRINKS BUSINESS; GOLD 2025,"Une quinzaine de crus des terroirs de Verneuil, Cumières, Damery, Sacy, Les Riceys, Avize, Chouilly et Bassuet.",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-brut-rose/,2026-04-05 23:14:33.964188,40.0,20.0,40.0,58.9,30.8,319.6,120.2,
5,Cuvée Royale Vintage 2018,Vintage,Champagne,1,2018.0,Extra Brut,2.0,84,,10.0,12.0,69.9,,,"Volaille de Bresse rôtie aux herbes, sur son risotto crémeux au parmesan. Mais également avec une escalope de veau à la crème et poivre blanc.","LE POINT — 16,5/20; THE DRINK BUSINESS; THE CHAMPAGNE MASTERS 2026 SILVER; DECANTER WINE AWARD — 95 PTS; BETTANE ET DESSEAUVE — 96/100","Chardonnays : Bassuet, Chouilly, Avize, Cumières et le Mesnil-sur-Oger Pinots noirs : Ambonnay et Sacy",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-vintage-2018/,2026-04-05 23:14:34.018482,81.0,,19.0,69.9,,,142.2,
6,Cuvée Royale Demi-Sec,Non-Vintage,Champagne,0,,Demi-Sec,38.0,36,,8.0,10.0,40.9,,,"La cuvée parfaite pour vos associations sucrées salées qui saura également accompagner vos plats recherchés d’ailleurs: canard laqué, curry d’agneau.",,"Plus de 20 crus différents dont les vignobles situés à Cumières, Damery, Hautvillers et Verneuil.",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-royale-demi-sec/,2026-04-05 23:14:34.071337,35.0,30.0,35.0,40.9,,,,
7,Le Ciergelot 2020,Parcellaire,Champagne,1,2020.0,Brut Nature,0.0,36,,8.0,10.0,87.5,,,Osez l'accompagner d'un poêlée de coques agrémentée de salicornes et poireaux grillés. Il se mariera aussi à merveille à la chair goûteuse et délicate de l'écrevisse,"LE POINT — 18/20; DECANTER — 91 PTS; BETTANE ET DESSAUVE — 93 PTS; JANCIS ROBINSON — 16,5","Le Ciergelot ZD214 – Verneuil – Vallée de la Marne. Située à mi-coteau, les vignes trouvent leurs racines dans un sol argilo-calcaire modéré.",https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-ciergelot-2020/,2026-04-05 23:14:34.118047,,100.0,,87.5,,,177.4,
8,La Côte à Bras 2016,Parcellaire,Champagne,1,2016.0,Brut Nature,0.0,108,,10.0,12.0,87.5,,,"À l’apéritif avec des mises-en-bouche inventives, en début de repas avec des mets légers et raffinés, un carpaccio de bar, un céviche de dorade.",JAMES SUCKLING — 94 PTS; THE DRINKS BUSINESS; THE CHAMPAGNE MASTERS 2026 SILVER; DECANTER WINE AWARDS 2025; BRONZE; LE POINT — 17,La Côte à Bras.,https://www.josephperrier.com/en/champagnes-et-cuvees/la-cote-a-bras-2016/,2026-04-05 23:14:34.166708,,,100.0,87.5,,,,
9,Joséphine 2014,Prestige,Champagne,1,2014.0,Brut,5.0,108,,10.0,12.0,165.0,,,Joséphine 2014 accompagne à merveille un risotto de Saint-Jacques poêlées légèrement citronnées ou encore un tartare d’huître et de daurade.,THE DRINKS BUSINESS; GOLD 2023; BERNARD BURTSCHY — 95/100; JAMES SUCKLING — 94/100; WINE ENTHUSIAST — 94/100,"Ambonnay, Sacy, Cumières, Bergères-lès-Vertus, Le Mesnil-sur-Oger.",https://www.josephperrier.com/en/champagnes-et-cuvees/josephine-2014/,2026-04-05 23:14:34.219855,60.0,,40.0,165.0,,,356.4,
10,Cuvée 200,Anniversary,Champagne,1,2015.0,Extra Brut,3.0,96,,10.0,12.0,,,,Carpaccio de Saint-Jacques avec une touche de citron vert et une huile d'olive infusée au yuzu. Une caille rôtie au chou Pak-choï aux et shiitakés poêlés.,THE GLOBAL SPARKLING MASTERS 2025; SILVER; BETTANE ET DESSAUVE — 97,Nous avons sélectionné les meilleurs chardonnays des vignobles de Cumières (premier cru) et de Chouilly (grand cru). Le pinot noir provient du terroir grand cru d’Ambonnay.,https://www.josephperrier.com/en/champagnes-et-cuvees/cuvee-200/,2026-04-05 23:14:34.272296,50.0,,50.0,,,670.0,295.0,
